	9
a	7
ability	2
able	2
accept	1
all	4
allows	1
ambitious	1
among	1
an	3
and	11
another	1
arbiter	1
are	5
around	1
as	2
asked	1
at	6
attempt	1
axiom	1
be	1
beasts	1
been	1
before	1
benefit	2
best	4
bond	1
born	1
bread	1
brutes	1
burden	1
but	9
buy	2
by	17
bye	1
can	3
cant	2
capacity	1
carry	1
causality	1
choice	1
claim	2
code	2
common	1
consider	3
consume	1
conviction	1
created	1
danconia	1
dare	1
deal	2
deals	1
default	1
degree	2
demands	3
desires	2
did	1
discover	1
do	2
driver	1
each	1
earth	1
effort	7
electric	1
energy	1
ever	3
every	2
evil	4
except	2
exchange	4
exist	1
existed	1
existence	1
expense	5
extent	1
final	1
find	1
first	1
food	1
fools	1
for	10
force	2
francisco	1
from	1
gain	1
generator	1
give	3
gold	1
good	1
goodbye	1
goods	4
grow	1
guns	2
had	1
hadoop	2
has	2
have	3
he	2
hello	2
highest	1
his	5
honest	2
honor	1
hope	1
in	5
incompetent	1
injury	1
intelligent	1
into	1
invent	1
invents	1
is	30
it	14
judgment	2
knowledge	1
knows	1
labor	1
law	1
lazy	1
learn	1
left	1
live	1
look	1
looked	1
looted	1
looters	2
loss	1
made	6
man	6
mans	3
material	1
mean	1
means	3
men	13
mens	1
mind	4
misery	1
money	24
mooched	1
moochers	2
moral	1
more	2
motions	1
motor	1
muscles	1
muscular	1
must	3
mutual	1
need	1
no	3
not	17
nothing	1
obtain	2
ocean	1
of	50
offer	2
on	4
one	2
only	3
or	4
others	1
own	2
owner	1
paper	2
payment	1
performance	1
permits	2
physical	1
pieces	2
possible	1
power	1
prescribe	1
principle	2
produce	3
produced	3
product	4
production	1
productiveness	1
products	1
provide	1
reason	2
recognition	2
replace	2
rests	1
return	1
reverse	1
reward	1
root	5
said	1
satisfaction	1
say	1
scourge	1
seed	1
seek	1
seizing	1
sell	1
shape	1
shoddiest	1
should	1
so	2
somewhere	1
statement	1
strength	2
strong	1
stupidity	1
suffering	1
survive	1
symbol	1
take	3
talent	1
tears	2
tell	1
than	1
that	20
the	79
their	6
them	3
then	1
there	2
they	3
think	2
this	4
those	4
time	1
to	21
token	1
tomorrow	1
tool	4
trade	4
traders	1
transform	1
try	2
unforced	1
unless	1
unthinking	1
upon	1
value	4
values	1
voluntary	1
wallet	2
was	1
weak	1
weakness	1
wealth	2
weight	1
what	5
wheat	1
when	2
wherever	1
which	4
who	15
whose	1
will	8
willing	1
wins	1
wish	2
with	3
without	1
work	1
world	4
worth	1
wounds	1
you	26
youll	1
your	15
yourself	1
